LST	all	br	gray	dark	visits_HETDEX
13.933333333333342	0.0	0.0	0.0	0.0	98.0
13.95000000000001	0.0	0.0	0.0	0.0	97.0
13.966666666666676	0.0	0.0	0.0	0.0	96.0
13.983333333333343	0.0	0.0	0.0	0.0	94.5
14.000000000000009	0.0	0.0	0.0	0.0	66.5
14.016666666666676	0.0	0.0	0.0	0.0	64.5
14.033333333333342	0.0	0.0	0.0	0.0	63.0
14.05000000000001	0.0	0.0	0.0	0.0	60.5
14.066666666666677	0.0	0.0	0.0	0.0	58.0
14.083333333333343	0.0	0.0	0.0	0.0	55.5
14.100000000000009	0.0	0.0	0.0	0.0	53.5
14.116666666666676	0.0	0.0	0.0	0.0	50.5
14.133333333333344	0.0	0.0	0.0	0.0	50.5
14.15000000000001	0.0	0.0	0.0	0.0	48.5
14.166666666666677	0.0	0.0	0.0	0.0	47.0
14.183333333333344	0.0	0.0	0.0	0.0	47.5
14.20000000000001	0.0	0.0	0.0	0.0	47.5
14.216666666666676	0.0	0.0	0.0	0.0	46.5
14.233333333333343	0.0	0.0	0.0	0.0	44.5
14.25000000000001	0.0	0.0	0.0	0.0	43.0
14.266666666666676	0.0	0.0	0.0	0.0	40.5
14.283333333333344	0.0	0.0	0.0	0.0	40.5
14.300000000000011	0.0	0.0	0.0	0.0	39.0
14.316666666666677	0.0	0.0	0.0	0.0	36.5
14.333333333333343	0.0	0.0	0.0	0.0	35.5
14.35000000000001	0.0	0.0	0.0	0.0	34.5
14.366666666666678	0.0	0.0	0.0	0.0	34.0
14.383333333333344	0.0	0.0	0.0	0.0	34.0
14.400000000000011	0.0	0.0	0.0	0.0	34.0
14.416666666666677	0.0	0.0	0.0	0.0	33.5
14.433333333333344	0.0	0.0	0.0	0.0	33.0
14.45000000000001	0.0	0.0	0.0	0.0	33.0
14.466666666666677	0.0	0.0	0.0	0.0	33.5
14.483333333333345	0.0	0.0	0.0	0.0	32.0
14.50000000000001	0.0	0.0	0.0	0.0	31.0
14.516666666666678	0.0	0.0	0.0	0.0	30.0
14.533333333333344	0.0	0.0	0.0	0.0	29.5
14.550000000000011	0.0	0.0	0.0	0.0	27.5
14.566666666666677	0.0	0.0	0.0	0.0	26.0
14.583333333333345	0.0	0.0	0.0	0.0	24.0
14.600000000000012	0.0	0.0	0.0	0.0	22.0
14.616666666666678	0.0	0.0	0.0	0.0	21.0
14.633333333333344	0.0	0.0	0.0	0.0	20.0
14.650000000000011	0.0	0.0	0.0	0.0	19.5
